security_code,security_nanme,list_date,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,label1,label2,label3
000026.SZ,飞亚达,6/3/93,0,0,0,3,0,0,80.5285,1.0395,98.9605,1.0395,36.79,36.792,42.3871,36.79,1.3629,-1.4427,15.1067,-13.1213,48.3783,0.005,47.2686,0.247,424.0913,1.7381,18.477,-23.3107,9.7286,1.2585,1.3564,10.5123,13.5419,10.69,-18.6984,0.4039,0.6879,6.1849,2.4385,2.1273,0.2403,6.8756,6.5237,6.9293,9.1675,40.9991,59.0009,31.8506,23.3444,6.37,0.8894,7.2158,1.2468,0.6479,-0.0824,96.7277,107.9395,29.0427,1.4093,2.4454,0.254,0.8272,10.3856,0.0052,12.8063,17.3625,335.077,294.5842,293.175,0.921,6.4436,6.6679,1.0809,6.5513,0.7501,1.8386,3.3042,8.956,6.824,11.8955,11.8036,4.8658,6.631,3.0463,0.916,846.8356,2.4184,9.8792,6.1627,1.309,2.9209,56.6071,0,4,5
000016.SZ,深康佳A,3/27/92,0,1,1,3,0,0,66.3044,0.0008,99.9992,0.0008,21.75,21.7508,40.379,21.75,17.1815,-14.6633,-43.8869,78.3065,35.6182,0,34.2924,0.0016,344.7442,1.4129,24.347,4.7431,21.0801,0,1.3251,-3.3251,31.3774,9.27,13.1412,0.1871,-1.0684,17.3099,0.0987,1.8598,1.1239,5.4806,1.514,3.5218,7.3074,4.9897,95.0103,7.3563,3.8516,1.3495,1.3896,1.4881,0.7656,122.8025,9.0168,-161.5025,99.4709,75.7791,4.1287,1.1301,0.2897,0.8621,2.2696,2.3642,133.0412,189.9804,89.3334,50.0154,40.7667,6.6231,5.5594,6.8671,1.6967,16.784,1.1167,36.0908,3.8945,4.8179,40.0498,41.4173,44.6442,11.198,0.7923,3.9822,43.3986,236.5465,32.4516,8.9438,40.1646,2.8394,26.3254,38.1344,0,5,5
002395.SZ,双象股份,4/29/10,0,0,0,2,0,0,100,0,100,0,64.73,64.7306,77.6581,64.73,-68.5187,217.6664,0.0326,-0.0307,66.157,0,66.157,0,178.0033,0.7295,121.368,-76.8411,34.8483,0.5079,3.2829,20.5043,219.0029,14.12,0.8052,0.1354,-0.0317,5.6432,2.3898,1.1386,-0.4244,2.8409,2.3989,2.6485,3.7878,9.8928,90.1072,7.7051,1.3884,3.1854,-0.2412,2.5307,3.3724,0,41.8392,59.8064,85.0492,33.5787,1.5055,1.8893,0.4045,1.0051,0,0.0059,-4.3088,1.8845,157.1238,70.5816,106.7193,2.53,5.3567,3.1199,1.2622,3.054,0.7831,2.7276,2.9269,44.9679,3.0235,-53.2073,-16.6174,-110.5844,46.0326,-0.7051,0.2338,-750.481,-0.3918,-20.2556,5.1132,-1.347,-2.2075,141.1247,0,4,5
300051.SZ,三五互联,2/11/10,0,0,0,2,0,0,61.4978,38.5022,61.4978,38.5022,37.82,2.8837,5.9935,37.82,19.1127,-18.6964,-31.4395,45.838,0.8334,0,0.8334,-0.1253,982.0227,4.0247,-6.8367,-24.7285,-8.4414,0,4.0818,62.9904,146.1333,12.46,-25.7208,0.0026,0.0971,0.5952,1.3223,-0.753,-0.0455,0.1595,1.5648,2.2553,0.2126,54.2457,45.7543,51.5023,20.0341,13.9506,8.2425,1.7516,9.2751,-1.0222,-2.2386,42.9509,105.546,45.5639,1.837,1.2067,0.7267,1.2009,1.3645,9.395,10.4,15.932,33.9807,-84.2101,1.8111,149.0823,8.393,2.2844,1.0893,0.4138,0.2005,5.8963,0.3866,-95.3571,24.8124,92.857,119.4623,9.3187,-92.2716,-40.6493,18.2194,-123.248,-26.2262,15.0523,22.0831,0.3815,0.3266,5.4329,1,3,5
000881.SZ,中广核技,9/2/98,0,0,1,3,0,0,32.5837,67.4163,32.5837,67.4163,24.26,6.005,10.5275,24.26,39.2816,61.2669,-8.9313,9.8088,25.2145,0,25.2145,0,400.9778,1.6434,28.2985,-26.7059,16.9721,0.3597,1.5605,62.4614,124.8057,12.21,-37.2516,0.0738,0.0366,4.5458,3.3184,1.544,-0.0454,1.3306,2.1276,2.0118,1.7741,16.225,83.775,15.8005,2.8128,7.6151,2.3482,2.1949,3.0243,26.3404,7.4623,1.6581,97.5967,47.3051,1.8977,1.6444,0.2912,1.3597,2.1587,0.256,32.7089,45.9775,266.5568,197.0583,86.9611,3.1048,1.5034,3.885,0.5863,2.0271,0.3969,1.4484,1.8343,-58.817,-2.6322,-58.6708,-56.8042,-56.7327,-61.4593,4.0235,-4.7637,-17.4993,-0.2116,-58.1948,0.6141,1.4274,-1.3069,2.6672,0,3,5
600611.SH,大众交通,8/7/92,0,1,1,3,0,0,66.1267,0,100,0,20.01,20.0153,29.9429,20.01,-17.3063,20.9282,2.9283,-2.8072,31.6918,0.7583,0.6654,-0.0013,192.3619,0.7884,9.3237,48.41,6.4959,1.6164,1.2704,24.4092,6.0808,10.35,-5.3976,0.2929,-0.2684,0.9948,0.0032,2.2879,-0.24,7.7968,33.4607,6.5431,10.3957,32.2809,67.7191,18.015,2.3153,11.3208,3.3129,36.7099,0.1599,65.2246,-0.1362,31.0933,101.3085,42.2916,1.7329,1.8288,0.378,1.1159,13.5358,0.4076,7.3705,29.6171,611.7175,548.9868,594.5377,0.4541,15.7162,4.3041,0.2771,1.0924,0.1459,0.7059,0.5098,19.8936,-3.9795,18.8433,18.4292,-342.674,13.9697,5.1923,8.7449,-9857.8238,6.5065,21.5166,3.1534,5.7177,7.828,4.5941,0,0,5
600219.SH,南山铝业,12/23/99,1,1,1,3,0,0,81.8991,18.1009,81.8991,18.1009,23.72,23.7217,38.7203,23.72,-4.6844,44.8703,3.0162,-2.7902,45.1726,0.0003,44.4954,0.0123,162.0873,0.6643,19.8852,11.4159,7.5336,1.6684,0.7253,12.6972,27.3193,10.81,-7.2456,0.11,0.2067,1.3662,1.3828,0.7794,0.1293,3.2717,8.3648,3.5081,4.3623,18.1055,81.8945,8.0774,2.9739,3.0286,1.2592,9.274,0.8157,9.6396,0.4906,88.3697,77.501,23.4288,1.306,2.3779,0.8366,1.8659,9.047,0.2388,1.0283,30.3324,178.7866,110.8468,101.8835,2.6501,3.5109,3.9741,0.7374,0.6706,0.3079,1.2715,0.6875,-26.6667,9.0001,-8.1229,-8.2914,256.8893,-21.935,15.8751,3.3048,275.8378,12.3011,-7.8656,13.0834,1.9632,2.7549,8.4892,0,0,5
002149.SZ,西部材料,8/10/07,0,1,0,2,0,0,99.9824,0.0176,99.9824,0.0176,28.89,28.8918,46.3163,28.89,162.2855,-7.1371,5.8354,-5.5286,43.6017,0,43.6017,0.0658,857.5666,3.5146,57.6776,-8.2959,16.2801,0,1.9467,30.7497,637.3512,13.57,-10.8672,0.0969,-0.0041,3.4775,2.9664,0.13,0.5873,2.291,5.1802,2.9717,3.0547,20.4333,79.5667,13.3659,2.3698,4.5822,2.4959,5.7752,3.918,4.9107,-0.6724,102.0842,60.3477,53.6445,2.1572,1.3065,0.2439,0.7794,3.4027,0.5049,17.7552,27.8705,399.6165,254.6183,228.5592,1.1813,1.5784,1.8621,0.6043,1.1856,0.3499,2.3307,1.113,10.8696,27.4758,36.2903,33.224,-102.7072,9.3823,1.2879,26.2176,145.1869,14.0471,34.1695,24.8308,0.0234,18.3663,46.9767,0,4,5
000885.SZ,城发环境,3/19/99,0,1,0,2,0,0,100,0,100,0,56.19,56.188,69.2707,56.19,-40.7067,96.1494,8.5213,-7.87,67.0694,0,67.0694,0,293.0709,1.2011,8.9648,16.5114,6.5344,0.0923,2.1625,4.3352,9.2275,11.23,-25.9692,1.121,1.9127,3.4124,0.1112,3.9701,-0.0903,20.5568,33.5103,10.6128,27.4091,61.2643,38.7357,14.4741,0.3362,6.6408,7.4971,61.7765,0,1.2176,-3.3261,102.0289,98.9965,61.3,2.584,0.5697,0.2921,0.5585,6.8801,0,53.6122,64.5072,23.9755,-342.7512,8.6879,31.0776,17.6614,0.7362,1.4498,0.293,0.2057,-1.6299,0.3047,27.4588,20.2902,25.7634,26.8906,14.5924,0.0332,27.4221,-9.1677,-158.8065,3.1992,27.2746,14.9052,11.2372,-0.2064,56.7508,0,4,5
002678.SZ,珠江钢琴,5/30/12,0,0,0,2,0,0,99.9123,0.0877,99.9123,0.0877,74.89,74.8899,86.4639,74.89,-43.2795,150.9013,5.5479,-5.256,84.3022,0,84.3022,0,37.1667,0.1523,59.3823,-7498.6088,38.4755,0.6228,3.2633,87.1644,48.2588,9.59,-10.074,0.11,-0.0334,1.1775,0.7225,0.6447,-0.1011,4.568,9.4554,4.0871,6.0907,29.9664,70.0336,18.3744,6.8501,7.3047,0.0065,11.0903,4.2131,9.6025,-1.9707,92.5417,95.171,23.876,1.3136,2.8948,0.601,1.849,1728.4143,0.078,-3.2171,2.9582,256.731,210.4306,222.1219,1.2155,7.8014,5.8315,0.6107,1.4636,0.3625,0.9591,1.1381,0,3.0645,8.1825,7.3874,-114.9325,3.1844,2.9646,33.584,-5.2292,8.8663,7.6144,3.306,1.8526,1.6516,46.8182,0,5,5
